Sreview_text,score,sentiment,timestamp
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The price is good and the product works perfectly.,1,Positive,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
There was an error in billing and the support was slow.,-3,Negative,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
Amazing product and worth the money.,2,Positive,2026-03-17 15:32:50
The product quality is excellent and I am very happy with the service.,5,Positive,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
The quality is amazing and delivery was fast.,2,Positive,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
Delivery was late and the packaging was bad.,-1,Negative,2026-03-17 15:32:50
Bad service and poor response from the team.,-3,Negative,2026-03-17 15:32:50
I faced an issue with installation but customer service helped.,0,Neutral,2026-03-17 15:32:50
Very good experience and excellent build quality.,4,Positive,2026-03-17 15:32:50
The product stopped working after a week.,0,Neutral,2026-03-17 15:32:50
